image_ID_index,train_or_test,classifier_class,classification_autoencoder,image_relative_filepath
1,test,1,1,../video/frames/test/play/A FINAL FOR THE AGES ｜ Carlos Alcaraz vs Novak Djokovic Full Match ｜ Wimbledon 2023 [5uFAkizQNJI]_frame_0005.jpg
2,test,1,1,../video/frames/test/play/A FINAL FOR THE AGES ｜ Carlos Alcaraz vs Novak Djokovic Full Match ｜ Wimbledon 2023 [5uFAkizQNJI]_frame_0006.jpg
3,test,1,1,../video/frames/test/play/A FINAL FOR THE AGES ｜ Carlos Alcaraz vs Novak Djokovic Full Match ｜ Wimbledon 2023 [5uFAkizQNJI]_frame_0007.jpg
4,test,1,1,../video/frames/test/play/A FINAL FOR THE AGES ｜ Carlos Alcaraz vs Novak Djokovic Full Match ｜ Wimbledon 2023 [5uFAkizQNJI]_frame_0008.jpg
5,test,1,1,../video/frames/test/play/A FINAL FOR THE AGES ｜ Carlos Alcaraz vs Novak Djokovic Full Match ｜ Wimbledon 2023 [5uFAkizQNJI]_frame_10463.jpg
6,test,1,0,../video/frames/test/play/A FINAL FOR THE AGES ｜ Carlos Alcaraz vs Novak Djokovic Full Match ｜ Wimbledon 2023 [5uFAkizQNJI]_frame_6030.jpg
7,test,1,0,../video/frames/test/play/Bjorn Borg vs John McEnroe ｜ Wimbledon 1980 Final ｜ Full Match [hBu0w1-y7mQ]_frame_11475.jpg
8,test,1,0,../video/frames/test/play/Bjorn Borg vs John McEnroe ｜ Wimbledon 1980 Final ｜ Full Match [hBu0w1-y7mQ]_frame_7543.jpg
9,test,1,0,../video/frames/test/play/Bjorn Borg vs John McEnroe ｜ Wimbledon 1980 Final ｜ Full Match [hBu0w1-y7mQ]_frame_7724.jpg
10,test,1,1,../video/frames/test/play/Carlos Alcaraz vs. Casper Ruud Full Match ｜ 2022 US Open Final [HCIhFyeQxu0]_frame_10758.jpg
11,test,1,1,../video/frames/test/play/Carlos Alcaraz vs. Casper Ruud Full Match ｜ 2022 US Open Final [HCIhFyeQxu0]_frame_6330.jpg
12,test,1,1,../video/frames/test/play/Carlos Alcaraz vs. Casper Ruud Full Match ｜ 2022 US Open Final [HCIhFyeQxu0]_frame_8403.jpg
13,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0020.jpg
14,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0276.jpg
15,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0277.jpg
16,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0278.jpg
17,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0279.jpg
18,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0280.jpg
19,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0281.jpg
20,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0282.jpg
21,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0283.jpg
22,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0284.jpg
23,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0285.jpg
24,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0286.jpg
25,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0287.jpg
26,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0288.jpg
27,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0289.jpg
28,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0290.jpg
29,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_0291.jpg
30,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_2467.jpg
31,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_2468.jpg
32,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_2469.jpg
33,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_2470.jpg
34,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_2471.jpg
35,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_2472.jpg
36,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_2473.jpg
37,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_2474.jpg
38,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_3919.jpg
39,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4556.jpg
40,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4557.jpg
41,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4558.jpg
42,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4559.jpg
43,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4560.jpg
44,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4842.jpg
45,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4912.jpg
46,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4913.jpg
47,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4914.jpg
48,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4915.jpg
49,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4916.jpg
50,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4917.jpg
51,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4918.jpg
52,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4919.jpg
53,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_4920.jpg
54,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_5012.jpg
55,test,1,1,../video/frames/test/play/Emma Raducanu vs Leylah Fernandez Full Match ｜ 2021 US Open Final [F99Kz2eptqM]_frame_5013.jpg
56,test,1,0,../video/frames/test/play/Juan Martin del Potro vs Rafael Nadal ｜ Wimbledon 2018 ｜ Full Match [S5LVbZUgM48]_frame_0216.jpg
57,test,1,0,../video/frames/test/play/Juan Martin del Potro vs Rafael Nadal ｜ Wimbledon 2018 ｜ Full Match [S5LVbZUgM48]_frame_0389.jpg
58,test,1,0,../video/frames/test/play/Novak Djokovic vs Daniil Medvedev Full Match ｜ Australian Open 2021 Final [MG-RjlqyaJI]_frame_5635.jpg
59,test,1,0,../video/frames/test/play/Novak Djokovic vs Daniil Medvedev Full Match ｜ Australian Open 2021 Final [MG-RjlqyaJI]_frame_5825.jpg
60,test,1,0,../video/frames/test/play/Novak Djokovic vs Daniil Medvedev Full Match ｜ Australian Open 2021 Final [MG-RjlqyaJI]_frame_6015.jpg
61,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_0852.jpg
62,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_0949.jpg
63,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_0950.jpg
64,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_0951.jpg
65,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_0952.jpg
66,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_0953.jpg
67,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11105.jpg
68,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11106.jpg
69,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11107.jpg
70,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11108.jpg
71,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11109.jpg
72,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11110.jpg
73,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11111.jpg
74,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11112.jpg
75,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11113.jpg
76,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11114.jpg
77,test,1,0,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11115.jpg
78,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11116.jpg
79,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11117.jpg
80,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11118.jpg
81,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11119.jpg
82,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11120.jpg
83,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11121.jpg
84,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11122.jpg
85,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11123.jpg
86,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_11124.jpg
87,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_18790.jpg
88,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_19073.jpg
89,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_19521.jpg
90,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_21973.jpg
91,test,1,1,../video/frames/test/play/Novak Djokovic vs Rafael Nadal in the longest final in Grand Slam history! ｜ Australian Open 2012 [s43wZcHOikc]_frame_21976.jpg
92,test,1,0,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5562.jpg
93,test,1,0,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5563.jpg
94,test,1,0,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5564.jpg
95,test,1,0,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5565.jpg
96,test,1,0,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5566.jpg
97,test,1,0,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5567.jpg
98,test,1,0,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5568.jpg
99,test,1,0,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5569.jpg
100,test,1,0,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5570.jpg
101,test,1,0,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5571.jpg
102,test,1,0,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5572.jpg
103,test,1,0,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5573.jpg
104,test,1,0,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5574.jpg
105,test,1,0,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5575.jpg
106,test,1,0,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_5576.jpg
107,test,1,0,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_6173.jpg
108,test,1,0,../video/frames/test/play/Novak Djokovic vs Roger Federer Full Match ｜ Australian Open 2016 Semi Final [uEDXMRYe0zo]_frame_6216.jpg
109,test,1,0,../video/frames/test/play/Roger Federer v Rafael Nadal Full Match ｜ Australian Open 2017 Final [KTCDxjJvs2U]_frame_0049.jpg
110,test,1,0,../video/frames/test/play/Roger Federer v Rafael Nadal Full Match ｜ Australian Open 2017 Final [KTCDxjJvs2U]_frame_1592.jpg
111,test,1,0,../video/frames/test/play/Roger Federer v Rafael Nadal Full Match ｜ Australian Open 2017 Final [KTCDxjJvs2U]_frame_1745.jpg
112,test,1,1,../video/frames/test/play/Roger Federer vs Rafael Nadal ｜ Wimbledon 2019 ｜ Full Match [wZnCcqm_g-E]_frame_0028.jpg
113,test,1,1,../video/frames/test/play/Roger Federer vs Rafael Nadal ｜ Wimbledon 2019 ｜ Full Match [wZnCcqm_g-E]_frame_0244.jpg
114,test,1,1,../video/frames/test/play/Roger Federer vs Rafael Nadal ｜ Wimbledon 2019 ｜ Full Match [wZnCcqm_g-E]_frame_0317.jpg
115,test,1,0,../video/frames/test/play/Serena Williams v Venus Williams Full Match ｜ Australian Open 2017 Final [tKIFQI9cH2c]_frame_2812.jpg
116,test,1,0,../video/frames/test/play/Serena Williams v Venus Williams Full Match ｜ Australian Open 2017 Final [tKIFQI9cH2c]_frame_2889.jpg
117,test,1,0,../video/frames/test/play/Serena Williams v Venus Williams Full Match ｜ Australian Open 2017 Final [tKIFQI9cH2c]_frame_3050.jpg
118,test,1,0,../video/frames/test/play/Serena Williams v Venus Williams Full Match ｜ Australian Open 2017 Final [tKIFQI9cH2c]_frame_3325.jpg
119,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7275.jpg
120,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7276.jpg
121,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7277.jpg
122,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7278.jpg
123,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7279.jpg
124,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7280.jpg
125,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7281.jpg
126,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7282.jpg
127,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7283.jpg
128,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7284.jpg
129,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7285.jpg
130,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7286.jpg
131,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7287.jpg
132,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7288.jpg
133,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7345.jpg
134,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7346.jpg
135,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7347.jpg
136,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7348.jpg
137,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7349.jpg
138,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7350.jpg
139,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7351.jpg
140,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7352.jpg
141,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7353.jpg
142,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7354.jpg
143,test,1,0,../video/frames/test/play/Serena Williams vs Angelique Kerber Full Match ｜ Australian Open 2016 Final [autIdKmAQqU]_frame_7355.jpg
